127.0.0.1, 2015-07-04 22:17:39, GET, /, HTTP/1.1, 303, 0.001473
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/default/index, HTTP/1.1, 200, 1.087267
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000823
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000834
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003595
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003794
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000769
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000644
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000708
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004170
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000706
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000651
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000802
127.0.0.1, 2015-07-04 22:17:40, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000796
127.0.0.1, 2015-07-04 22:17:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000734
127.0.0.1, 2015-07-04 22:17:41, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000710
127.0.0.1, 2015-07-04 22:17:41, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000712
127.0.0.1, 2015-07-04 22:17:41, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000766
127.0.0.1, 2015-07-04 22:18:03, GET, /admin/default/index, HTTP/1.1, 200, 0.210492
127.0.0.1, 2015-07-04 22:18:03, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.000895
